구분,과목코드,분반,과목명,시수,부문,강의실
G-Share,11000001,1,"강원-인,함께여는미래",2-2-0-0,,"금,11"
G-Share,11000001,2,"강원-인,함께여는미래",2-2-0-0,,"금,11"
G-Share,11000001,3,"강원-인,함께여는미래",2-2-0-0,,"금,11"
G-Share,11000001,4,"강원-인,함께여는미래",2-2-0-0,,금11
G-Share,11000001,5,"강원-인,함께여는미래",2-2-0-0,,금11
G-Share,11000001,6,"강원-인,함께여는미래",2-2-0-0,,금11
G-Share,11000001,7,"강원-인,함께여는미래",2-2-0-0,,금11
G-Share,11000001,8,"강원-인,함께여는미래",2-2-0-0,,금11
기초교양,12100001,1,대학글쓰기와표현,3-3-0-0,사고와 표현,"월A5,목A5(60주년기념관 208)"
기초교양,12100001,2,대학글쓰기와표현,3-3-0-0,사고와 표현,"월A6,목,A6(60주년기념관 208)"
기초교양,12100001,3,대학글쓰기와표현,3-3-0-0,사고와 표현,"월A5,목A5(60주년기념관 209)"
기초교양,12100001,4,대학글쓰기와표현,3-3-0-0,사고와 표현,"월A6,목A6(60주년기념관 209)"
기초교양,12100001,5,대학글쓰기와표현,3-3-0-0,사고와 표현,"월A2,목A2(60주년기념관 208)"
기초교양,12100001,6,대학글쓰기와표현,3-3-0-0,사고와 표현,"월A3,목A3(60주년기념관 208)"
기초교양,12100001,7,대학글쓰기와표현,3-3-0-0,사고와 표현,"월A2,목A2(60주년기념관 209)"
기초교양,12100001,8,대학글쓰기와표현,3-3-0-0,사고와 표현,"월A3,목A3(60주년기념관 209)"
기초교양,12100001,9,대학글쓰기와표현,3-3-0-0,사고와 표현,"월A3,목A3(60주년기념관 301)"
기초교양,12100001,10,대학글쓰기와표현,3-3-0-0,사고와 표현,"월A1,목A1(60주년기념관 208)"
기초교양,12100001,11,대학글쓰기와표현,3-3-0-0,사고와 표현,"월A2,목A2(60주년기념관 313)"
기초교양,12100001,12,대학글쓰기와표현,3-3-0-0,사고와 표현,"월A2,목A2(60주년기념관 314)"
기초교양,12100001,13,대학글쓰기와표현,3-3-0-0,사고와 표현,"월A1,목A1(60주년기념관 209)"
